id;X1;X2;X3;Y
1;162.83;879.88;493.92;301.64
2;-996.16;766.19;879.41;3448.69
3;-635.01;226.08;657.1;865.82
4;-943.2;-93.34;-843.29;7414.64
5;286.33;900.03;-203.96;2752.66
6;583.57;-536.46;835.04;-8007.73
7;253.38;-117.81;-318.44;-212.25
8;746.51;-276.59;863.81;-7937.61
9;687.4;385.83;901.25;-5493.65
10;428.06;-942.47;588.63;-7713.04
11;955.6;-257.28;-448.24;-3291.95
12;-387.11;-450.1;272.57;-1011.46
13;-921.75;300.09;372.36;3602.4
14;-507.64;-835.02;-787.16;2617.88
15;-378.05;-71.5;134.97;862.6
16;-532.41;786.88;-692.96;8057.65
17;826.81;305.03;255.24;-3687.35
18;-983.53;992.82;33.51;7745.47
19;810.26;605.04;243.05;-2504.41
20;-132.77;-132.78;-653.06;2861.73
21;954.24;25.76;-965.58;-113.76
22;-242.65;468.65;244.58;1704.97
23;43.18;-624.46;387.17;-4028.06
24;696.77;-750.33;-830.21;-2273.32
25;643.45;-823.4;332.67;-7178.14
26;870.93;-373.9;-987.4;-1061.72
27;958.59;-590.67;262.34;-7467.27
28;210.93;214.25;925.58;-4076.45
29;989.15;284.13;695.79;-6336.15
30;-153.15;-429.13;766.89;-4057.09
31;-11.64;728.35;-222.65;3553.72
32;-714.01;93.18;-764.77;6720.9
33;-545.54;630.02;814.8;1230.49
34;188.87;231.56;182.76;-798.13
35;-433.79;-610.79;305.43;-1509.38
36;357.3;145.24;260.16;-2178.34
37;-882.53;-323.06;854.63;-798.43
38;994.62;762.4;-982.09;2374.97
39;-10.78;-342.96;997.09;-5355.12
40;844.95;-794.81;-240.14;-5569.92
41;-607.69;709.91;-504.55;7330.21
42;-946.08;514.09;662.57;3247.26
43;-879.94;-220.33;-228.99;4104.55
44;889.01;-812.02;-391.48;-5191.98
45;-604.09;318.89;62.83;3550.97
46;474.61;-374.2;-304.85;-2161.3
47;915.1;-205.53;-660.12;-2039.32
48;-206.35;-657.34;349.92;-2875.34
49;-634.64;-510.5;828.16;-2453.97
50;-745.95;-909.69;43.63;-72.13
51;-510.08;755.51;-692.92;7847.79
52;-617.46;551.82;192.83;3886.72
53;763.58;-822.02;-799.41;-2953.88
54;-780.19;-151.67;-194.13;3753.99
55;364.53;-289.33;-563.21;-286.5
56;-679.47;-93.07;-484.93;4734
57;97.87;-14.99;411.09;-2220.62
58;102.89;775.87;-282.06;3459.56
59;-194.05;-734.09;-989.02;2423.66
60;145.83;-329.66;136.29;-2391.48
61;-865.46;828.47;-759.04;9968.21
62;818.7;-585.06;-717.07;-2709.45
63;-775.01;627.9;153.88;5021.64
64;180.95;-289.97;101.04;-2259.87
65;-691.53;65.74;187.39;2525.24
66;793.09;183.2;-447.68;-1014.82
67;-979.81;-872.87;98.01;872.08
68;-219.13;-340.37;190.34;-1028.71
69;-455.33;-583.3;-64.15;237.29
70;-66.21;-662.14;776.13;-5305.58
71;-983.53;11.39;-805.43;7804.8
72;683.64;107.96;776.7;-5934.01
73;-752.12;701.01;115.73;5338.2
74;391.76;-205.62;35.46;-2626.68
75;529.1;160.92;-175.42;-1059.26
76;524.47;523.05;-530.43;1730.41
77;922.15;456.77;285.91;-3705.56
78;-2.35;59.36;990.06;-3942.83
79;376.89;-5.21;118.5;-2202.01
80;-312.05;876.02;432.28;2664.92
81;-902.16;80.34;284.9;3105.76
82;-93.17;-520.52;-75.46;-1110.01
83;-654.54;73.44;78.52;2843.38
84;615.52;-921.36;893.36;-9754.7
85;-746.62;-825.07;-569.95;2806.86
86;-923.69;-643.6;-834.16;5346.86
87;-754.62;555.64;-166.2;6020.05
88;555.2;-300.25;-921.74;330.33
89;-306.03;168.97;-537.73;4215.27
90;-203.16;-614.98;-572.67;1135.88
91;837.09;-203.53;102.86;-4888.74
92;-801.65;-166.31;-70.14;3277.42
93;-837.25;191.65;680.76;1546.69
94;160.89;-817.74;-686.39;-726.15
95;48.88;692.92;438.39;381.92
96;-458.68;-789.43;-253.14;316.31
97;635.51;302.23;-835;1735.23
98;626.91;-33.65;-150.12;-2289.38
99;944.15;536.25;-864.69;1308.58
100;-44.98;335.27;-167.6;2082.19
