id;X1;X2;X3;Y
1;591.59;-569.77;93.38;-3008.66
2;-928.13;-302.04;-668.71;-1951.13
3;251.46;140.75;-961.89;-2004.38
4;65.97;786.36;-715.84;1718.83
5;412.2;665.37;-878.62;385.15
6;-387.39;-519.15;-987.97;-4323.31
7;889.37;-634.37;817.22;-1863.06
8;-400.27;-357.83;323.66;-366.61
9;-659.88;197.88;514.06;2898.05
10;-359.26;295.81;-749.78;-96.14
11;733.55;-629.64;-871.63;-5803.04
12;307.02;880.63;-818.51;1620.25
13;208.36;52.72;333.85;821.04
14;948.36;460.81;-234.57;433.26
15;-725.11;-920.06;-429.55;-4381.12
16;-192.48;-699;988.42;-511.79
17;631.88;481.15;387.74;2407.27
18;203.03;-95.03;878.23;1494.89
19;620.23;-939.74;-163.66;-5338.77
20;878.81;-904.78;-3.45;-5080.76
21;-309.15;-785.55;-580.58;-4614.7
22;59.88;-588.49;161.27;-2325.37
23;698.49;640.57;-435.74;1033.63
24;-963.03;138.87;925.25;3982.11
25;-716.35;510.24;-470.61;1959.27
26;-437.37;-511.55;-111.57;-2084.93
27;-607.64;-939.11;367.72;-2646.69
28;602.1;237.99;753.17;2239.08
29;407.46;802.4;-606.51;1672.72
30;394.12;580.13;-931.48;-109.16
31;310.45;-145.8;462.75;126.04
32;-84.35;-572.63;-626.38;-4020.95
33;-355.07;-654.52;-12.24;-2579.88
34;285.46;380.02;956.96;3736.87
35;828.02;-128.46;-993.06;-3946.59
36;-357.61;-259.8;972.71;1617.41
37;-873.13;860.6;-480.72;3690.78
38;688.4;191.47;-4.46;75.89
39;-922.72;453.85;661.31;4711.27
40;356.83;848.23;508.08;4667.38
41;986.7;870.35;-970.39;433.72
42;-574.38;-140.62;305.49;763.72
43;617.28;-343.95;-974.25;-4634.01
44;-813.6;-109.9;815.53;2422.91
45;416.18;-597.73;-413.28;-4178.01
46;609.64;-855.62;750.15;-2708.34
47;159.15;727.68;104.51;3359.14
48;193.5;-864.41;700.99;-2398.84
49;-221.38;4.43;69.59;441.28
50;-506.58;983.29;-433.59;3945.94
51;427.91;261.05;-628.51;-845.22
52;297.39;-790.94;-881.18;-6060.99
53;804.46;-55.83;47.77;-1042.89
54;998.5;-731.14;230.49;-3859.09
55;533.83;302.33;937.21;3057.37
56;-790.68;-859.49;-93.9;-3211.01
57;-829.81;688.18;-456.69;2922.88
58;681.91;438.47;947.68;3530.59
59;836.68;969.67;-394.05;2464.03
60;-850.24;288.08;512.66;3517.5
61;-514.15;-99.64;-99.5;-110.74
62;6.38;885.88;810.96;5976.15
63;-964.98;670.41;466.62;5258.16
64;157.66;-695.31;-442.47;-4396.9
65;-966.91;-872.39;795.51;-891.96
66;912.08;-859.65;-257.99;-5538.03
67;684.58;-959.74;780.33;-3189.02
68;-260.92;-934.63;-92.38;-4145.01
69;636.79;-673.75;-802.72;-5722.92
70;-915.69;349.27;-478;1440.47
71;588.35;915.81;-992.84;1033.42
72;-817.34;-40.51;-566.02;-644.65
73;165.52;-108.79;-927.93;-2948.53
74;935.61;-324.43;105.25;-2261.19
75;314.04;-328.27;-80.26;-2029.86
76;797.17;538.28;-502.2;297.46
77;-775.45;291.65;993.77;4626.76
78;659.47;-984.78;740.9;-3371.16
79;95.8;-111.42;-27.75;-676.98
80;-249.18;78.47;-898.85;-1566.71
81;-968.43;97.18;450.05;2636.25
82;-661.04;492.59;-63.25;2815.26
83;-914.68;-65.64;112.06;1013.08
84;-226.09;-36.47;60.68;241.98
85;-89.97;-966.2;47.11;-4138.75
86;241.19;-488.95;820.57;-465.63
87;-561.53;-192.6;509.07;1013.73
88;180.75;34.6;49.6;74.5
89;-186.29;-641.76;-992.5;-5113.71
90;741.36;762.91;-977.83;208.19
91;-989.1;714.98;-266.52;3690.2
92;297.54;311.6;698.77;2781.8
93;-621.38;786.18;352.83;5113.06
94;23.63;-1.83;-174.09;-460.21
95;-953.61;-68.69;313.8;1537.04
96;-485.48;-425.69;-326.9;-2171.19
97;504.66;-909.28;890.62;-2487.65
98;897.41;578.35;502.02;2825.18
99;56.13;462.24;515.35;3284.88
100;920.72;773.79;800.83;4412.25
