id;X1;X2;X3;Y
1;162.63;-651.25;-84.55;-3902.6
2;169.26;-701.28;5.17;-4100.06
3;-237.75;-946.25;-277.35;-3919.38
4;720.88;-579.91;-837.29;-6393.15
5;-861.85;878.98;-664.45;7181.16
6;899.4;498.39;-611.47;-1631.41
7;-388.83;-282.47;-801.15;-500.57
8;-761.44;228.84;-547.83;3693.62
9;296.32;-116.75;-767.08;-2380.64
10;-994.95;-432.1;387.86;2158.41
11;597.27;250.69;804.91;-470.52
12;-746.52;-181.48;178.53;2227.6
13;-721.87;-630.07;340.53;65.14
14;0.81;-35.84;-355.32;-469.29
15;-219.68;-90.98;-970.89;-375.69
16;-236.59;-731.61;-977.56;-3452.81
17;626.32;-732.54;813.12;-5396.42
18;-9;86.62;695.48;1041.64
19;342.81;-153.15;-16.62;-2121.59
20;228.25;-302.56;-581.99;-2868.12
21;-89.68;652.1;398.03;3884.6
22;49.77;-381.19;-113.14;-2154.94
23;642.97;623.35;-445.96;135.3
24;517.77;838.57;125.95;2161.95
25;447.01;-667.31;854.14;-4331.27
26;603.02;654.9;691.26;1392.02
27;978.23;193.08;-664.82;-3485.2
28;916.05;651.08;-371.35;-749.92
29;308;-3.07;74.1;-1171.66
30;747.44;-515.36;-935.76;-6264.99
31;-188.5;237.01;-817.35;1235.43
32;-594.59;-616.98;-184.29;-811.45
33;-96.52;-284.47;131.1;-898.54
34;970.25;800.78;-59.06;27.5
35;-71.48;130.86;186.01;1084.08
36;-711.02;591.8;-231.21;5534.35
37;-989.25;883.25;-815.87;7582.4
38;374.13;-266.61;-667.79;-3342.18
39;531.55;-659.65;384;-5020.07
40;494.03;625.07;872.86;1829.57
41;217.59;-426;662.57;-2398.72
42;-96.46;367.99;-296.36;1944
43;-64;-401.74;-874.98;-2436.39
44;626.04;403.09;451.96;-130.96
45;-118.09;839.29;260.01;4801.77
46;-64.32;322.7;472.39;2232.85
47;165.23;-391.2;269.77;-2344.3
48;-968.93;-965.87;42.78;-846.27
49;-763.74;-448.2;-570.89;366.5
50;471.61;13.31;-310.01;-2060.86
51;-482.18;129;-270.07;2325.51
52;470.88;605.51;706.73;1688.2
53;125.26;-325.34;375.15;-1775.21
54;152.51;385.51;600.26;1785.65
55;772.13;40.08;141.15;-2748.26
56;-712.16;-78.63;724.36;3047.48
57;-382.93;-230.39;-497.83;-17.4
58;482.34;-746.45;174.26;-5422.98
59;769.6;-160.53;307.41;-3582.62
60;-802.76;21.37;596.7;3791.23
61;683.23;361.38;-906.77;-1689.43
62;593.58;538.44;252.48;495.18
63;-993.55;125.62;100.17;4647.11
64;-9.18;418.99;813.09;2768.24
65;413.45;320.15;427.92;287.42
66;314.74;5.69;859.52;-503.37
67;-551.43;-864.24;-322.12;-2308.4
68;-123.75;876.24;499.36;5203.35
69;862.2;903.01;-736.82;394.18
70;-843.97;771.19;-914.4;6374.42
71;-0.03;453.73;510.18;2651.11
72;653.8;-571.13;461.56;-5007.46
73;845.65;-588.85;946.1;-5452.58
74;745.84;285.5;-999.09;-2387.11
75;-928.98;-667.84;730.42;1025.76
76;612.54;-513.92;859.02;-4232.72
77;936.73;261.54;195.39;-2271.42
78;-380.49;-685.32;-828.69;-2530.74
79;-364.03;-119.13;-216.9;685.61
80;-702.21;-888.95;-859.32;-2276.48
81;-876.74;-453.3;254.38;1475.54
82;-696.77;397.86;-140.15;4603.3
83;-937.04;650.92;-174.53;6768.82
84;-132.04;205;-641.93;1000.63
85;-284.37;-998.92;950.4;-2972.93
86;-834.03;-899.71;455.61;-715.05
87;458.39;-52.35;331.32;-1797.35
88;668.78;-66.64;565.02;-2508.13
89;-513.34;961.64;699.47;7335.14
90;-41.99;235.31;421.03;1673.26
91;712.59;988.73;-108.89;1930.31
92;99.51;49.88;-268.13;-368.12
93;-970.49;173.63;-401.87;4374.72
94;380.6;54.85;-916.8;-1999.44
95;546.98;403.85;949.12;599.61
96;-274.4;-71.14;-207.39;573.49
97;-368;926.78;-773.22;5364.32
98;629.19;245.87;-784.49;-1940.25
99;511.94;-309.47;781.26;-2896.19
100;124.39;746.53;585.97;3656.09
